epoch,train_loss,val_loss
1,1.14999515,0.94013363
2,0.87985371,0.92959440
3,0.75567849,0.96171200
4,0.68470536,0.99275416
5,0.63109441,0.98163253
6,0.59520013,0.96624756
7,0.58033043,0.96752816
8,0.57510376,0.96635634
9,0.56448063,0.95836180
10,0.54961533,0.96828520
11,0.54681890,0.95661193
12,0.54255497,0.94825727
13,0.53658239,0.95694745
14,0.53087757,0.95603251
15,0.52030429,0.95483088
16,0.51926335,0.94870311
17,0.50870356,0.95638353
18,0.50683621,0.94206971
19,0.50114895,0.93948412
20,0.48969994,0.94393194
21,0.49376609,0.93533939
22,0.49136088,0.92723018
23,0.48487393,0.92802584
24,0.47337921,0.92868996
25,0.46976297,0.92260003
26,0.47272997,0.92339116
27,0.46927340,0.91996729
28,0.45859918,0.91842484
29,0.44874001,0.91879910
30,0.44928294,0.91945463
31,0.44079154,0.92108834
32,0.43368585,0.91991854
33,0.42950577,0.91351515
34,0.41792325,0.91461980
35,0.41988983,0.91516101
36,0.41342993,0.91136634
37,0.40641618,0.91158664
38,0.40562106,0.90835118
39,0.39626783,0.90896076
40,0.38967048,0.91001242
41,0.38346819,0.91238534
42,0.37675300,0.90949506
43,0.37985812,0.91316140
44,0.37019259,0.91137952
45,0.36624068,0.91445524
46,0.36578508,0.90827626
47,0.35921290,0.90758145
48,0.35958927,0.91338325
49,0.35398269,0.91155738
50,0.34764493,0.91621482
51,0.34545289,0.91256022
52,0.34431121,0.91304362
53,0.33665230,0.91453362
54,0.33467893,0.91230673
55,0.33180068,0.91511339
56,0.33044848,0.91310841
57,0.33375898,0.91618782
58,0.32757856,0.91485739
59,0.32445185,0.91528362
60,0.31889193,0.91119725
61,0.31959623,0.91191661
62,0.31642555,0.91225284
63,0.31922459,0.91620129
64,0.31270159,0.91755044
65,0.31381376,0.91421407
66,0.31422285,0.91765469
67,0.30927321,0.91902828
68,0.30635173,0.92077899
69,0.30528928,0.92193991
70,0.30760300,0.91928220
71,0.30382951,0.91945732
72,0.30546711,0.91725343
73,0.30028627,0.91972262
74,0.30026164,0.91985863
75,0.29902001,0.91895539
76,0.29912372,0.92193139
77,0.30133461,0.92032826
78,0.29739537,0.92140174
79,0.29898535,0.92272455
80,0.29800066,0.91857135
81,0.29674699,0.91920751
82,0.29870642,0.91971916
83,0.29342730,0.92081118
84,0.29552967,0.91884774
85,0.29235864,0.92389786
86,0.29270275,0.91882783
87,0.29638226,0.91880935
88,0.29302650,0.92044181
89,0.29279498,0.92053026
90,0.29199089,0.91950631
91,0.29117294,0.92189062
92,0.28866882,0.92141074
93,0.29392689,0.92072403
94,0.29213120,0.92070132
95,0.29415913,0.92239457
96,0.29005118,0.91936857
97,0.29070620,0.91962171
98,0.29253660,0.92220879
99,0.29152687,0.92016268
100,0.29054787,0.92153877
