date,tic,close,high,low
2020-01-02,AAPL,70.950378,71.432362,70.337752
2020-01-02,AMGN,197.78829,198.93105,196.25688
2020-01-02,CRM,160.52037,161.89581,158.87039
2020-01-02,CSCO,39.568315,39.746775,39.255152
2020-01-02,IBM,97.271788,97.681894,96.700404
2020-01-02,INTC,52.967265,53.226154,52.547545
2020-01-02,MSFT,149.22913,149.79739,148.14698
2020-01-02,NKE,92.097165,92.755248,91.457906
2020-01-02,VZ,41.542378,41.732792,41.248267
2020-01-02,WMT,36.259035,36.439845,36.057772
2020-01-03,AAPL,70.72076,71.372249,70.307662
2020-01-03,AMGN,196.09669,197.69785,195.46207
2020-01-03,CRM,159.8122,161.07458,159.01158
2020-01-03,CSCO,39.589003,39.771893,39.314444
2020-01-03,IBM,97.164021,97.690798,96.766666
2020-01-03,INTC,52.854172,53.160072,52.550941
2020-01-03,MSFT,148.68187,149.42442,147.7832
2020-01-03,NKE,91.695818,92.534673,91.235224
2020-01-03,VZ,41.478462,41.7023,41.222445
2020-01-03,WMT,36.205665,36.368013,36.00592
2020-01-06,AAPL,70.476764,71.180959,69.841998
2020-01-06,AMGN,195.81506,196.93622,194.62918
2020-01-06,CRM,158.51099,159.92123,157.58838
2020-01-06,CSCO,39.572767,39.740255,39.297374
2020-01-06,IBM,97.010472,97.394716,96.521755
2020-01-06,INTC,52.881612,53.085501,52.50232
2020-01-06,MSFT,148.31066,149.06202,147.272
2020-01-06,NKE,91.285191,92.05849,90.906218
2020-01-06,VZ,41.498316,41.692787,41.2266
2020-01-06,WMT,36.109892,36.307299,35.904626
2020-01-07,AAPL,70.049225,70.838708,69.52444
2020-01-07,AMGN,195.00329,196.45297,193.97278
2020-01-07,CRM,157.92469,159.09611,156.74754
2020-01-07,CSCO,39.510862,39.714619,39.22375
2020-01-07,IBM,96.825575,97.311457,96.405214
2020-01-07,INTC,52.786065,53.100298,52.486723
2020-01-07,MSFT,147.92405,148.7771,146.8591
2020-01-07,NKE,90.819906,91.68089,90.379254
2020-01-07,VZ,41.469881,41.721718,41.219837
2020-01-07,WMT,36.041848,36.265654,35.855046
2020-01-08,AAPL,69.708209,70.313558,69.04256
2020-01-08,AMGN,194.18664,195.52075,193.14794
2020-01-08,CRM,157.43799,158.20573,156.15579
2020-01-08,CSCO,39.476362,39.635894,39.15636
2020-01-08,IBM,96.582527,97.038912,96.154373
2020-01-08,INTC,52.681924,52.966604,52.33123
2020-01-08,MSFT,147.35452,148.15625,146.39405
2020-01-08,NKE,90.428233,91.2433,89.821466
2020-01-08,VZ,41.414244,41.646987,41.151316
2020-01-08,WMT,35.917489,36.143412,35.724483
2020-01-09,AAPL,69.499847,70.156833,68.894436
2020-01-09,AMGN,193.87447,194.92957,192.42305
2020-01-09,CRM,157.08546,158.02611,156.01653
2020-01-09,CSCO,39.510227,39.673037,39.19333
2020-01-09,IBM,96.502297,96.976215,96.012384
2020-01-09,INTC,52.602476,52.895481,52.237417
2020-01-09,MSFT,146.79685,147.51699,145.75126
2020-01-09,NKE,90.161725,90.901571,89.601237
2020-01-09,VZ,41.367633,41.617799,41.090915
2020-01-09,WMT,35.852431,36.062449,35.634544
2020-01-10,AAPL,69.234031,69.94754,68.575765
2020-01-10,AMGN,193.11894,194.14913,191.81829
2020-01-10,CRM,156.22202,157.15824,154.8829
2020-01-10,CSCO,39.468625,39.623651,39.121347
2020-01-10,IBM,96.330602,96.785556,95.808269
2020-01-10,INTC,52.456178,52.70519,52.057211
2020-01-10,MSFT,146.29829,146.99453,145.2436
2020-01-10,NKE,89.70861,90.520174,89.134337
2020-01-10,VZ,41.263983,41.527968,40.972686
2020-01-10,WMT,35.706166,35.942981,35.495935
2020-01-13,AAPL,69.098526,69.771866,68.394432
2020-01-13,AMGN,191.95805,193.31653,190.80745
