date,tic,close,high,low
2020-01-02,AAPL,0.0035800934,0.0068920851,-0.0091103315
2020-01-02,AMGN,0.0020184517,0.0056033134,-0.0077431202
2020-01-02,CRM,0.0040670633,0.0077152252,-0.0092741847
2020-01-02,CSCO,0.0023490191,0.0038516521,-0.0081225634
2020-01-02,IBM,0.0019936562,0.0044389963,-0.0061545968
2020-01-02,INTC,0.0029419661,0.0050504208,-0.0079087615
2020-01-02,MSFT,0.0011870861,0.0041755438,-0.0074307323
2020-01-02,NKE,-0.00011533499,0.0069999695,-0.006613791
2020-01-02,VZ,0.00057053566,0.0047978163,-0.0070903301
2020-01-02,WMT,-2.2053719e-05,0.0049422979,-0.0054456592
2020-01-03,AAPL,-0.0033965111,0.0086344481,-0.0061292052
2020-01-03,AMGN,-0.0079851151,0.0078940392,-0.0034085512
2020-01-03,CRM,-0.0039468408,0.0078423023,-0.0055618882
2020-01-03,CSCO,0.00049507618,0.004699707,-0.006624639
2020-01-03,IBM,-0.0010778308,0.0053063631,-0.004288435
2020-01-03,INTC,-0.0021529198,0.005781889,-0.0052304864
2020-01-03,MSFT,-0.0033398271,0.0049418211,-0.0059967637
2020-01-03,NKE,-0.0051429272,0.0089287758,-0.005218029
2020-01-03,VZ,-0.0011494756,0.0057851076,-0.0063311458
2020-01-03,WMT,-0.0014798641,0.0045951605,-0.005458951
2020-01-06,AAPL,-0.0033464432,0.010428548,-0.0075572133
2020-01-06,AMGN,-0.003516376,0.0062471628,-0.005984664
2020-01-06,CRM,-0.0079043508,0.0081856251,-0.0054145455
2020-01-06,CSCO,-0.0007121563,0.003798008,-0.007435143
2020-01-06,IBM,-0.0016173124,0.0045691729,-0.0049094558
2020-01-06,INTC,-0.00024420023,0.0047280788,-0.0070009232
2020-01-06,MSFT,-0.0025580525,0.0048773289,-0.0072081089
2020-01-06,NKE,-0.005888164,0.008970499,-0.0046979785
2020-01-06,VZ,0.0011380911,0.0050568581,-0.0070661306
2020-01-06,WMT,-0.002600491,0.0049345493,-0.0056244731
2020-01-07,AAPL,-0.0058758855,0.010911465,-0.0077094436
2020-01-07,AMGN,-0.0037545562,0.0074491501,-0.0048751235
2020-01-07,CRM,-0.0032225251,0.0073758364,-0.0069678426
2020-01-07,CSCO,-0.0022493005,0.00542593,-0.0070692301
2020-01-07,IBM,-0.0017451644,0.0049095154,-0.0045258999
2020-01-07,INTC,-0.001765728,0.0056599379,-0.0057466626
2020-01-07,MSFT,-0.0023828149,0.0055755377,-0.0070733428
2020-01-07,NKE,-0.0048251152,0.010168314,-0.0048234463
2020-01-07,VZ,-0.00027823448,0.0058473349,-0.0061081052
2020-01-07,WMT,-0.0027507544,0.0063307285,-0.0055795312
2020-01-08,AAPL,-0.0044519305,0.009147048,-0.0093100071
2020-01-08,AMGN,-0.0053181648,0.0070296526,-0.0052339435
2020-01-08,CRM,-0.0017882586,0.0052754879,-0.0076101422
2020-01-08,CSCO,-0.0013781786,0.0041072369,-0.0074846745
2020-01-08,IBM,-0.0028473139,0.0052380562,-0.0045978427
2020-01-08,INTC,-0.0027341843,0.0057140589,-0.0066558719
2020-01-08,MSFT,-0.0038247108,0.005281806,-0.0067208409
2020-01-08,NKE,-0.0037624836,0.0087778568,-0.0063996911
2020-01-08,VZ,-0.00074374676,0.0060474873,-0.0063984394
2020-01-08,WMT,-0.0041539073,0.0064482689,-0.0054577589
2020-01-09,AAPL,-0.0037947297,0.0092095137,-0.0093297362
2020-01-09,AMGN,-0.0010721087,0.0049914122,-0.0070587993
2020-01-09,CRM,-0.0021457672,0.0055272579,-0.0077854991
2020-01-09,CSCO,0.00072669983,0.0039439201,-0.0078654885
2020-01-09,IBM,-0.00065261126,0.0047866106,-0.0047866106
2020-01-09,INTC,-0.0025149584,0.0054079294,-0.0067439079
2020-01-09,MSFT,-0.0043212771,0.0047824383,-0.0063280463
2020-01-09,NKE,-0.0030956268,0.0085229874,-0.0061644912
2020-01-09,VZ,-0.0019305348,0.0061378479,-0.0066388249
2020-01-09,WMT,-0.0030927062,0.006226778,-0.0057324171
2020-01-10,AAPL,-0.0043053627,0.010249019,-0.0099150538
2020-01-10,AMGN,-0.004842937,0.0053652525,-0.0067733526
2020-01-10,CRM,-0.0035296082,0.0061120987,-0.007886529
2020-01-10,CSCO,-0.0009432435,0.0043236017,-0.0083426237
2020-01-10,IBM,-0.0019213557,0.0047353506,-0.0049641132
2020-01-10,INTC,-0.0012463927,0.0049695969,-0.0074897408
2020-01-10,MSFT,-0.0038101077,0.0050479174,-0.0072257519
2020-01-10,NKE,-0.0046693683,0.0088518858,-0.0062620044
2020-01-10,VZ,-0.0029956698,0.0060771704,-0.0070005059
2020-01-10,WMT,-0.0041354299,0.0063905716,-0.0057327747
2020-01-13,AAPL,-0.0017544031,0.01003623,-0.010270357
2020-01-13,AMGN,-0.0060478449,0.0070607662,-0.0060003996
2020-01-13,CRM,-0.0035921931,0.0062092543,-0.0076961517
2020-01-13,CSCO,0.0014452934,0.0043078661,-0.008676827
2020-01-13,IBM,-0.0015617609,0.0041683912,-0.0049620271
2020-01-13,INTC,9.0360641e-05,0.0051395893,-0.0075924397
2020-01-13,MSFT,-0.0036817193,0.004878521,-0.0076833963
2020-01-13,NKE,-0.0048161745,0.0089534521,-0.0055259466
2020-01-13,VZ,-0.0023953319,0.0061161518,-0.0070841908
2020-01-13,WMT,-0.0049991608,0.0064976215,-0.0056841969
2020-01-14,AAPL,-0.0025301576,0.0095287561,-0.010441661
2020-01-14,AMGN,-0.0023778677,0.0063223839,-0.0071416497
2020-01-14,CRM,-0.0035707355,0.0061789751,-0.0082578659
2020-01-14,CSCO,0.00085020065,0.0036443472,-0.0098065138
2020-01-14,IBM,0.00043070316,0.0039038658,-0.0057591796
2020-01-14,INTC,0.0012178421,0.0045185089,-0.0080521107
2020-01-14,MSFT,-0.0019873381,0.0046513081,-0.0081416368
2020-01-14,NKE,-0.0054214597,0.0086807013,-0.0054950118
2020-01-14,VZ,-0.0021407604,0.0056515932,-0.0080379248
2020-01-14,WMT,-0.0047772527,0.0063632727,-0.0054872632
2020-01-15,AAPL,-0.0039319992,0.0094851255,-0.010846317
2020-01-15,AMGN,0.00040757656,0.0055366755,-0.0084637403
2020-01-15,CRM,-0.0039409995,0.0070716143,-0.0084713697
2020-01-15,CSCO,-0.001164794,0.0036919117,-0.0090277195
2020-01-15,IBM,-0.00094050169,0.0043560266,-0.0058239698
2020-01-15,INTC,-0.00085985661,0.0053132772,-0.0074936152
2020-01-15,MSFT,-0.0035450459,0.0054605007,-0.0088680387
2020-01-15,NKE,-0.0055947304,0.0088814497,-0.0063827634
2020-01-15,VZ,-0.0021004677,0.0058791637,-0.0076054335
2020-01-15,WMT,-0.0032747984,0.0065209866,-0.0064804554
2020-01-16,AAPL,-0.0048823357,0.010549188,-0.0094959736
2020-01-16,AMGN,-0.00058704615,0.0053495169,-0.0085424781
2020-01-16,CRM,-0.0054163933,0.0077028275,-0.0090073943
2020-01-16,CSCO,-0.00016206503,0.004044652,-0.0087800622
2020-01-16,IBM,-2.2053719e-05,0.0040277243,-0.0055265427
2020-01-16,INTC,-0.0014506578,0.0052877665,-0.0069541335
2020-01-16,MSFT,-0.0032922029,0.0054036379,-0.0080928802
2020-01-16,NKE,-0.0029206276,0.0084000826,-0.0059720278
2020-01-16,VZ,-0.0019487739,0.0067392588,-0.0063479543
2020-01-16,WMT,-0.0018196106,0.0057060719,-0.0064529181
2020-01-17,AAPL,-0.0030231476,0.010208249,-0.010778487
2020-01-17,AMGN,-0.0022118092,0.0051912069,-0.0086181164
2020-01-17,CRM,-0.0056759715,0.0079610348,-0.0084984303
2020-01-17,CSCO,-0.0018359423,0.0033638477,-0.0090228319
2020-01-17,IBM,-0.0021160245,0.0054074526,-0.0050387979
2020-01-17,INTC,-0.0014224648,0.00499928,-0.0073548555
2020-01-17,MSFT,-0.0036551356,0.0058377981,-0.0076367855
2020-01-17,NKE,-0.005614996,0.008871913,-0.005620122
2020-01-17,VZ,-0.0040830374,0.0067527294,-0.0070698857
2020-01-17,WMT,-0.0047208667,0.0061382055,-0.0055388808
2020-01-21,AAPL,-0.0034377575,0.0102669,-0.010363221
2020-01-21,AMGN,-0.0031249523,0.0061173439,-0.0078632236
2020-01-21,CRM,-0.0065640807,0.0071928501,-0.0079618692
2020-01-21,CSCO,-0.0010401011,0.0038084984,-0.0085186958
2020-01-21,IBM,-0.0020706654,0.0050019026,-0.0051487088
2020-01-21,INTC,-0.0016425848,0.0040774345,-0.0085840225
2020-01-21,MSFT,-0.0043725967,0.0056521893,-0.0075548291
2020-01-21,NKE,-0.0053796172,0.0083512068,-0.0067650676
2020-01-21,VZ,-0.0027781725,0.0061407089,-0.0074543953
