epoch,train_loss,val_loss
1,1.21918691,1.96295309
2,1.00254863,1.92842662
3,0.97446681,1.94611216
4,0.94527794,1.92943084
5,0.90754842,1.94960535
6,0.88133308,1.97277844
7,0.84309738,1.98019147
8,0.83618352,1.94756651
9,0.82520067,1.93167889
10,0.82270726,1.93877482
11,0.81186389,1.93987536
12,0.81221694,1.96271300
13,0.80509446,1.96811402
14,0.80646355,1.99722219
15,0.79773796,2.00118232
16,0.79163465,1.98439598
17,0.79741361,1.96072114
18,0.78940145,1.95886588
19,0.78510207,1.94575274
20,0.77191433,1.95036471
21,0.78131197,1.94753754
22,0.78332628,1.92052400
23,0.77386958,1.92002547
24,0.76739605,1.93567801
25,0.76961919,1.91836870
26,0.76541989,1.93024111
27,0.76594499,1.93058014
28,0.76574828,1.91983843
29,0.75939628,1.93192208
30,0.75739747,1.92363083
31,0.75853660,1.91468430
32,0.75572241,1.91714835
33,0.75883591,1.91788149
34,0.74698971,1.91765523
35,0.75371288,1.91986048
36,0.75137584,1.91700196
37,0.74794002,1.90044641
38,0.74463291,1.90265644
39,0.74360409,1.89320922
40,0.74229406,1.89602172
41,0.73618923,1.90081096
42,0.73306505,1.90563953
43,0.73498012,1.90501678
44,0.73338308,1.88900912
45,0.73171369,1.90070307
46,0.72971865,1.87739515
47,0.72596541,1.90354109
48,0.72623267,1.89321792
49,0.72352430,1.89066839
50,0.72092402,1.89384162
51,0.71931458,1.90594482
52,0.71927472,1.89947248
53,0.71472913,1.90129542
54,0.71485559,1.88763332
55,0.71127961,1.89047420
56,0.71364541,1.89913929
57,0.71407506,1.89050651
58,0.70753686,1.89174461
59,0.71095257,1.90442991
60,0.70864062,1.89645422
61,0.70786524,1.88596809
62,0.70577067,1.88537788
63,0.70428075,1.89571106
64,0.70185115,1.90055585
65,0.70116252,1.89031434
66,0.69997973,1.88835967
67,0.70195682,1.88083565
68,0.69773936,1.88877881
69,0.69555457,1.88885963
70,0.69580242,1.88613653
71,0.69788424,1.88677812
72,0.69854416,1.87566853
73,0.69378242,1.88700247
74,0.69112442,1.88877511
75,0.69350351,1.88881135
76,0.69422141,1.87937045
77,0.69338871,1.88996911
78,0.69275483,1.88898146
79,0.69259462,1.88639188
80,0.69223801,1.88342476
81,0.69004711,1.88709319
82,0.69192961,1.88118219
83,0.69109643,1.88493013
84,0.68971989,1.86599588
85,0.69032715,1.89456201
86,0.68723569,1.88961899
87,0.69144802,1.88433385
88,0.68750379,1.88420451
89,0.68840715,1.88262343
90,0.68937393,1.88484466
91,0.68521159,1.88420558
92,0.68842645,1.87659883
93,0.68672394,1.88080513
94,0.68905283,1.88065946
95,0.68969573,1.88278723
96,0.68821926,1.89051533
97,0.68610963,1.87732089
98,0.68910698,1.87701917
99,0.68531684,1.88168848
100,0.69154746,1.88497508
