date,tic,close,high,low
2020-01-02,AAPL,71.611435,72.453226,70.297642
2020-01-02,AMGN,190.40949,189.33197,188.43241
2020-01-02,CRM,163.25951,162.79436,163.43551
2020-01-02,CSCO,41.346347,42.036251,41.441652
2020-01-02,IBM,96.263852,96.829677,94.925459
2020-01-02,INTC,51.604006,52.028674,51.106433
2020-01-02,MSFT,145.75359,146.08457,146.06942
2020-01-02,NKE,95.452416,94.823349,94.777965
2020-01-02,VZ,40.927651,41.177459,40.440109
2020-01-02,WMT,36.455754,36.623426,36.119817
2020-01-03,AAPL,71.077038,72.824086,71.440786
2020-01-03,AMGN,190.16248,190.68151,191.27129
2020-01-03,CRM,154.31941,160.32829,153.10168
2020-01-03,CSCO,40.819983,41.288868,40.315123
2020-01-03,IBM,96.039442,95.757292,93.577241
2020-01-03,INTC,51.201905,51.34989,51.331372
2020-01-03,MSFT,142.50616,141.01332,139.02027
2020-01-03,NKE,95.075177,94.674265,92.812443
2020-01-03,VZ,40.477433,40.022177,40.454474
2020-01-03,WMT,36.578067,36.765104,36.426958
2020-01-06,AAPL,70.517284,71.69927,68.381167
2020-01-06,AMGN,194.09004,193.70472,190.80308
2020-01-06,CRM,154.81432,153.41963,154.61582
2020-01-06,CSCO,40.174199,40.336579,40.27888
2020-01-06,IBM,96.828224,97.783023,94.536373
2020-01-06,INTC,51.613402,51.931138,51.724343
2020-01-06,MSFT,144.27619,146.27291,143.88807
2020-01-06,NKE,94.085399,94.967178,92.637006
2020-01-06,VZ,41.124284,41.572427,41.477477
2020-01-06,WMT,36.745277,36.6916,36.333543
2020-01-07,AAPL,71.107977,69.508663,70.354332
2020-01-07,AMGN,188.2841,192.29953,182.22354
2020-01-07,CRM,156.90739,158.56153,153.1507
2020-01-07,CSCO,38.75277,39.014185,37.927657
2020-01-07,IBM,95.975803,95.729336,97.462141
2020-01-07,INTC,51.063814,51.090976,50.940885
2020-01-07,MSFT,142.16669,142.24844,140.47315
2020-01-07,NKE,93.32376,94.287424,93.444278
2020-01-07,VZ,41.337088,42.142058,40.924201
2020-01-07,WMT,37.016148,37.031341,36.85872
2020-01-08,AAPL,69.638882,70.254628,68.109847
2020-01-08,AMGN,185.56301,187.56638,184.27818
2020-01-08,CRM,158.00962,163.33563,158.7755
2020-01-08,CSCO,38.463616,37.684287,38.532945
2020-01-08,IBM,95.612948,95.343933,95.54293
2020-01-08,INTC,50.777627,50.3533,50.340431
2020-01-08,MSFT,144.64768,145.83118,143.46157
2020-01-08,NKE,94.557901,95.518415,93.908381
2020-01-08,VZ,40.754579,41.10964,40.377031
2020-01-08,WMT,36.967862,37.33888,36.839731
2020-01-09,AAPL,68.538649,68.649146,68.174774
2020-01-09,AMGN,190.78965,190.76812,189.85547
2020-01-09,CRM,162.88671,170.79826,154.77577
2020-01-09,CSCO,37.756731,38.155875,37.660206
2020-01-09,IBM,98.037214,97.78463,95.542974
2020-01-09,INTC,50.008785,51.128983,50.148917
2020-01-09,MSFT,144.73421,144.44126,145.29106
2020-01-09,NKE,93.823881,95.155831,92.869716
2020-01-09,VZ,41.123532,41.418802,40.349874
2020-01-09,WMT,36.764071,36.519482,36.440932
2020-01-10,AAPL,69.096454,69.751587,69.795193
2020-01-10,AMGN,190.12654,188.32127,187.83557
2020-01-10,CRM,162.01498,163.33148,162.36454
2020-01-10,CSCO,38.183353,38.290298,38.351825
2020-01-10,IBM,97.626478,97.53668,97.17347
2020-01-10,INTC,49.8746,51.555635,48.753534
2020-01-10,MSFT,148.35524,150.98098,146.7537
2020-01-10,NKE,94.901322,96.068599,92.894443
2020-01-10,VZ,41.551815,41.804045,41.482986
2020-01-10,WMT,36.163839,36.480025,36.434272
2020-01-13,AAPL,68.935991,68.293526,67.05802
2020-01-13,AMGN,189.84897,190.46752,188.84984
2020-01-13,CRM,164.31907,167.94444,166.67279
2020-01-13,CSCO,37.647768,37.91096,38.117321
2020-01-13,IBM,98.447384,99.544744,96.724274
2020-01-13,INTC,50.87413,51.826732,50.161065
2020-01-13,MSFT,147.94718,149.23203,146.23871
